 Buana Capital Sekuritas ,RF,"DCII,MCOL,RSGK",BUKA
 Profindo Sekuritas Indonesia ,RG,PTMR,"AMAN,BHAT,ESTA,BESS,CARE,ATAP"
 Nilai Inti Sekuritas ,RO,,"NICL,SOFA,GOTO,KBAG"
 Yulie Sekuritas Indonesia Tbk ,RS,,"ADCP,WMUU,MTEL,BELI"
 Macquarie Sekuritas Indonesia ,RX,,HILL
 Elit Sukses Sekuritas ,SA,"RCCC,KLIN,LOPI,GRPH",#N/A
 Surya Fajar Sekuritas ,SF,"COAL,NAYZ,TRON,HAJJ,VISI","SAMF,GPSO,NTBK,IBOS,UVCR,VTNY,SOFA"
 Artha Sekuritas Indonesia ,SH,"WIDI,KOCI,STRK,ATLA","WINR,BSBK,AMAN,ATAP,NICL,KBAG"
 BCA Sekuritas ,SQ,"FAPA,EDGE,MASB,BLOG","MTMH,PSAT,CDIA,BELI,BUKA"
 OCBC Sekuritas Indonesia ,TP,IKPM,"HGII,CDIA"
 NH Korindo Sekuritas Indonesia ,XA,"SICO,CHEM,HATM,ELIT,LAJU,PACK,KING,PTMP,GRPM,CRSN,PTPS,ASLI,MHKI,BRRC,ASPR","GPSO,TAYS,IBOS,UVCR,BIKE,ASPI,KBAG"
 Jasa Utama Capital Sekuritas ,YB,,"BHAT,ESTA,BESS,CARE"
 Lotus Andalan Sekuritas ,YJ,"PEVE,FWCT,CHIP,HBAT,MKAP,BLES,LABS,CHEK,MERI","ARKO,JARR,BUKA"
 Mirae Asset Sekuritas Indonesia ,YP,"KKES,TOOL,MMIX,CYBR","TRIN,PMMP,ZYRX,RUNS,IPPE,ARKO,BMBL,ERAL,UNTD,UVCR,BIKE,HILL,WINR,CBUT,VTNY,ADCP,SOFA,KBAG,BUKA"
 CGS-CIMB Sekuritas Indonesia ,YU,SCNP,"STAA,TLDN,AXIO,DRMA,OMED,ADCP,WMUU,GOTO"
