RG, Profindo Sekuritas Indonesia ,PTMR,"AMAN,BHAT,ESTA,BESS,CARE,ATAP"
RO, Nilai Inti Sekuritas ,,"NICL,SOFA,GOTO,KBAG"
RS, Yulie Sekuritas Indonesia Tbk ,,"ADCP,WMUU,MTEL,BELI"
RX, Macquarie Sekuritas Indonesia ,,HILL
SA, Elit Sukses Sekuritas ,"RCCC,KLIN,LOPI,GRPH",#N/A
SF, Surya Fajar Sekuritas ,"COAL,NAYZ,TRON,HAJJ,VISI","SAMF,GPSO,NTBK,IBOS,UVCR,VTNY,SOFA"
SH, Artha Sekuritas Indonesia ,"WIDI,KOCI,STRK,ATLA","WINR,BSBK,AMAN,ATAP,NICL,KBAG"
SQ, BCA Sekuritas ,"FAPA,EDGE,MASB,BLOG","MTMH,PSAT,CDIA,BELI,BUKA"
TP, OCBC Sekuritas Indonesia ,IKPM,"HGII,CDIA"
XA, NH Korindo Sekuritas Indonesia ,"SICO,CHEM,HATM,ELIT,LAJU,PACK,KING,PTMP,GRPM,CRSN,PTPS,ASLI,MHKI,BRRC,ASPR","GPSO,TAYS,IBOS,UVCR,BIKE,ASPI,KBAG"
YB, Jasa Utama Capital Sekuritas ,,"BHAT,ESTA,BESS,CARE"
YJ, Lotus Andalan Sekuritas ,"PEVE,FWCT,CHIP,HBAT,MKAP,BLES,LABS,CHEK,MERI","ARKO,JARR,BUKA"
YP, Mirae Asset Sekuritas Indonesia ,"KKES,TOOL,MMIX,CYBR","TRIN,PMMP,ZYRX,RUNS,IPPE,ARKO,BMBL,ERAL,UNTD,UVCR,BIKE,HILL,WINR,CBUT,VTNY,ADCP,SOFA,KBAG,BUKA"
YU, CGS-CIMB Sekuritas Indonesia ,SCNP,"STAA,TLDN,AXIO,DRMA,OMED,ADCP,WMUU,GOTO"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,"analisa kinerja under writer dalam mengawal saham di hari hari pertama IPO berdasarkan perubahan harga sahamnya di hari pertama , hitung jumlah naik harga sampai beberapa hari sebelum akhirnya turun, dengan data sampai 3 bulan setelahnya, bila data kurang bisa cari data browsing internet. buatkan resume dan strategi investasi nya. tidak perlu membuat grafik. tuliskan keunggulan dan hal yang harus diperhatikan berdasarkan saham saham yang pernah dikawalnya."
Kode sekurittas under writer (UW),:,GR,Kode sekurittas under writer (UW) : GR
Nama Sekuritas,:, Panin Sekuritas Tbk ,Nama Sekuritas :  Panin Sekuritas Tbk 
Saham yang pernah dikawal sendiri sebagai UW tunggal,:,"CBPE,MPXL,KLAS,AREA,GUNA","Saham yang pernah dikawal sendiri sebagai UW tunggal : CBPE,MPXL,KLAS,AREA,GUNA"
Saham yang pernah dikawal dengan UW konsorsium,:,"PGUN,LABA,CMRY,AMAN,BHAT,ESTA,BESS,CARE,ATAP,ADCP,SOFA,WMUU,MTEL,GOTO,KBAG,BUKA","Saham yang pernah dikawal dengan UW konsorsium : PGUN,LABA,CMRY,AMAN,BHAT,ESTA,BESS,CARE,ATAP,ADCP,SOFA,WMUU,MTEL,GOTO,KBAG,BUKA"
